[rosmaster.master][INFO] 2018-12-04 19:31:39,875: -PUB [/RosAria/pose] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:31:39,876: -PUB [/RosAria/bumper_state] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:31:39,876: -PUB [/RosAria/sonar] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:31:39,877: -PUB [/RosAria/sonar_pointcloud2] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:31:39,879: -PUB [/RosAria/battery_voltage] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:31:39,880: -PUB [/RosAria/battery_recharge_state] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:31:39,881: -PUB [/RosAria/battery_state_of_charge] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:31:39,883: -PUB [/RosAria/motors_state] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:31:39,883: -PUB [/RosAria/parameter_descriptions] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:31:39,884: -PUB [/RosAria/parameter_updates] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:31:39,886: -SUB [/RosAria/cmd_vel] /RosAria http://onboardpc:44755/
[rosmaster.master][INFO] 2018-12-04 19:31:39,887: -SERVICE [/RosAria/get_loggers] /RosAria rosrpc://onboardpc:35263
[rosmaster.master][INFO] 2018-12-04 19:31:39,888: -SERVICE [/RosAria/set_logger_level] /RosAria rosrpc://onboardpc:35263
[rosmaster.master][INFO] 2018-12-04 19:31:39,889: -SERVICE [/RosAria/enable_motors] /RosAria rosrpc://onboardpc:35263
[rosmaster.master][INFO] 2018-12-04 19:31:39,890: -SERVICE [/RosAria/disable_motors] /RosAria rosrpc://onboardpc:35263
[rosmaster.master][INFO] 2018-12-04 19:31:39,891: -SERVICE [/RosAria/set_parameters] /RosAria rosrpc://onboardpc:35263
[rosmaster.master][INFO] 2018-12-04 19:31:39,935: publisherUpdate[/rosout] -> http://onboardpc:33965/ []
[rosmaster.master][INFO] 2018-12-04 19:31:39,936: publisherUpdate[/rosout] -> http://onboardpc:33965/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2018-12-04 19:31:43,244: -PUB [/rosout_agg] /rosout http://onboardpc:33965/
[rosmaster.master][INFO] 2018-12-04 19:31:43,245: -SUB [/rosout] /rosout http://onboardpc:33965/
[rosmaster.master][INFO] 2018-12-04 19:31:43,246: -SERVICE [/rosout/get_loggers] /rosout rosrpc://onboardpc:48571
[rosmaster.master][INFO] 2018-12-04 19:31:43,247: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://onboardpc:48571
[rosmaster.main][INFO] 2018-12-04 19:31:43,316: keyboard interrupt, will exit
[rosmaster.main][INFO] 2018-12-04 19:31:43,316: stopping master...
[rospy.core][INFO] 2018-12-04 19:31:43,317: signal_shutdown [atexit]
