[rosmaster.master][INFO] 2019-01-14 13:56:47,161: +SERVICE [/rostopic_2319_1547481406975/get_loggers] /rostopic_2319_1547481406975 http://onboardpc:33189/
[rosmaster.master][INFO] 2019-01-14 13:56:47,163: +SERVICE [/rostopic_2319_1547481406975/set_logger_level] /rostopic_2319_1547481406975 http://onboardpc:33189/
[rosmaster.master][INFO] 2019-01-14 13:56:47,173: +SUB [/RosAria/battery_state_of_charge] /rostopic_2319_1547481406975 http://onboardpc:33189/
[rosmaster.master][INFO] 2019-01-14 13:56:47,174: publisherUpdate[/rosout] -> http://onboardpc:41687/ ['http://onboardpc:36969/', 'http://onboardpc:33189/']
[rosmaster.master][INFO] 2019-01-14 13:56:47,175: publisherUpdate[/rosout] -> http://onboardpc:41687/ ['http://onboardpc:36969/', 'http://onboardpc:33189/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-01-14 13:56:50,176: -SUB [/RosAria/battery_state_of_charge] /rostopic_2319_1547481406975 http://onboardpc:33189/
[rosmaster.master][INFO] 2019-01-14 13:56:50,179: -PUB [/rosout] /rostopic_2319_1547481406975 http://onboardpc:33189/
[rosmaster.master][INFO] 2019-01-14 13:56:50,179: -SERVICE [/rostopic_2319_1547481406975/set_logger_level] /rostopic_2319_1547481406975 rosrpc://onboardpc:34239
[rosmaster.master][INFO] 2019-01-14 13:56:50,180: -SERVICE [/rostopic_2319_1547481406975/get_loggers] /rostopic_2319_1547481406975 rosrpc://onboardpc:34239
[rosmaster.master][INFO] 2019-01-14 13:56:50,181: publisherUpdate[/rosout] -> http://onboardpc:41687/ ['http://onboardpc:36969/']
[rosmaster.master][INFO] 2019-01-14 13:56:50,182: publisherUpdate[/rosout] -> http://onboardpc:41687/ ['http://onboardpc:36969/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-01-14 14:37:46,048: -PUB [/rosout] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 14:37:46,052: -PUB [/tf] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 14:37:46,054: -PUB [/RosAria/pose] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 14:37:46,055: -PUB [/RosAria/bumper_state] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 14:37:46,055: -PUB [/RosAria/sonar] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 14:37:46,056: -PUB [/RosAria/sonar_pointcloud2] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 14:37:46,057: -PUB [/RosAria/battery_voltage] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 14:37:46,058: -PUB [/RosAria/battery_recharge_state] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 14:37:46,059: -PUB [/RosAria/battery_state_of_charge] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 14:37:46,060: -PUB [/RosAria/motors_state] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 14:37:46,061: -PUB [/RosAria/parameter_descriptions] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 14:37:46,062: -PUB [/RosAria/parameter_updates] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 14:37:46,064: -SUB [/RosAria/cmd_vel] /RosAria http://onboardpc:36969/
[rosmaster.master][INFO] 2019-01-14 14:37:46,068: -SERVICE [/RosAria/get_loggers] /RosAria rosrpc://onboardpc:59799
[rosmaster.master][INFO] 2019-01-14 14:37:46,069: -SERVICE [/RosAria/set_logger_level] /RosAria rosrpc://onboardpc:59799
[rosmaster.master][INFO] 2019-01-14 14:37:46,070: -SERVICE [/RosAria/enable_motors] /RosAria rosrpc://onboardpc:59799
[rosmaster.master][INFO] 2019-01-14 14:37:46,071: -SERVICE [/RosAria/disable_motors] /RosAria rosrpc://onboardpc:59799
[rosmaster.master][INFO] 2019-01-14 14:37:46,072: -SERVICE [/RosAria/set_parameters] /RosAria rosrpc://onboardpc:59799
[rosmaster.master][INFO] 2019-01-14 14:37:46,137: publisherUpdate[/rosout] -> http://onboardpc:41687/ []
[rosmaster.master][INFO] 2019-01-14 14:37:46,138: publisherUpdate[/rosout] -> http://onboardpc:41687/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-01-14 14:39:21,411: +PARAM [/lms1xx/host] by /lms1xx
[rosmaster.master][INFO] 2019-01-14 14:39:21,414: +PUB [/rosout] /lms1xx http://onboardpc:41653/
[rosmaster.master][INFO] 2019-01-14 14:39:21,415: +SERVICE [/lms1xx/get_loggers] /lms1xx http://onboardpc:41653/
[rosmaster.master][INFO] 2019-01-14 14:39:21,416: +SERVICE [/lms1xx/set_logger_level] /lms1xx http://onboardpc:41653/
[rosmaster.master][INFO] 2019-01-14 14:39:21,418: +PUB [/scan] /lms1xx http://onboardpc:41653/
[rosmaster.master][INFO] 2019-01-14 14:39:21,448: publisherUpdate[/rosout] -> http://onboardpc:41687/ ['http://onboardpc:41653/']
[rosmaster.master][INFO] 2019-01-14 14:39:21,452: publisherUpdate[/rosout] -> http://onboardpc:41687/ ['http://onboardpc:41653/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-01-14 14:39:36,681: -PUB [/rosout] /lms1xx http://onboardpc:41653/
[rosmaster.master][INFO] 2019-01-14 14:39:36,681: publisherUpdate[/rosout] -> http://onboardpc:41687/ []
[rosmaster.master][INFO] 2019-01-14 14:39:36,684: publisherUpdate[/rosout] -> http://onboardpc:41687/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-01-14 14:39:36,691: -PUB [/scan] /lms1xx http://onboardpc:41653/
[rosmaster.master][INFO] 2019-01-14 14:39:36,694: -SERVICE [/lms1xx/get_loggers] /lms1xx rosrpc://onboardpc:59703
[rosmaster.master][INFO] 2019-01-14 14:39:36,696: -SERVICE [/lms1xx/set_logger_level] /lms1xx rosrpc://onboardpc:59703
