[rosmaster.master][INFO] 2019-01-09 09:36:56,394: +PUB [/RosAria/sonar] /RosAria http://onboardpc:40801/
[rosmaster.master][INFO] 2019-01-09 09:36:56,396: +PUB [/RosAria/sonar_pointcloud2] /RosAria http://onboardpc:40801/
[rosmaster.master][INFO] 2019-01-09 09:36:56,397: +PUB [/RosAria/battery_voltage] /RosAria http://onboardpc:40801/
[rosmaster.master][INFO] 2019-01-09 09:36:56,398: +PUB [/RosAria/battery_recharge_state] /RosAria http://onboardpc:40801/
[rosmaster.master][INFO] 2019-01-09 09:36:56,399: +PUB [/RosAria/battery_state_of_charge] /RosAria http://onboardpc:40801/
[rosmaster.master][INFO] 2019-01-09 09:36:56,399: +PUB [/RosAria/motors_state] /RosAria http://onboardpc:40801/
[rosmaster.master][INFO] 2019-01-09 09:36:56,400: +SERVICE [/RosAria/enable_motors] /RosAria http://onboardpc:40801/
[rosmaster.master][INFO] 2019-01-09 09:36:56,401: +SERVICE [/RosAria/disable_motors] /RosAria http://onboardpc:40801/
[rosmaster.master][INFO] 2019-01-09 09:36:56,413: -SERVICE [/RosAria/get_loggers] /RosAria rosrpc://onboardpc:53293
[rosmaster.master][INFO] 2019-01-09 09:36:56,414: -SERVICE [/RosAria/set_logger_level] /RosAria rosrpc://onboardpc:53293
[rosmaster.master][INFO] 2019-01-09 09:36:56,415: -SERVICE [/RosAria/enable_motors] /RosAria rosrpc://onboardpc:53293
[rosmaster.master][INFO] 2019-01-09 09:36:56,416: -SERVICE [/RosAria/disable_motors] /RosAria rosrpc://onboardpc:53293
[rosmaster.master][INFO] 2019-01-09 09:36:56,424: publisherUpdate[/rosout] -> http://onboardpc:33407/ ['http://onboardpc:40801/']
[rosmaster.master][INFO] 2019-01-09 09:36:56,426: publisherUpdate[/rosout] -> http://onboardpc:33407/ ['http://onboardpc:40801/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-01-09 09:36:56,528: -PUB [/rosout] /RosAria http://onboardpc:40801/
[rosmaster.master][INFO] 2019-01-09 09:36:56,530: -PUB [/tf] /RosAria http://onboardpc:40801/
[rosmaster.master][INFO] 2019-01-09 09:36:56,533: -PUB [/RosAria/pose] /RosAria http://onboardpc:40801/
[rosmaster.master][INFO] 2019-01-09 09:36:56,535: -PUB [/RosAria/bumper_state] /RosAria http://onboardpc:40801/
[rosmaster.master][INFO] 2019-01-09 09:36:56,537: publisherUpdate[/rosout] -> http://onboardpc:33407/ []
[rosmaster.master][INFO] 2019-01-09 09:36:56,537: -PUB [/RosAria/sonar] /RosAria http://onboardpc:40801/
[rosmaster.master][INFO] 2019-01-09 09:36:56,538: publisherUpdate[/rosout] -> http://onboardpc:33407/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-01-09 09:36:56,538: -PUB [/RosAria/sonar_pointcloud2] /RosAria http://onboardpc:40801/
[rosmaster.master][INFO] 2019-01-09 09:36:56,540: -PUB [/RosAria/battery_voltage] /RosAria http://onboardpc:40801/
[rosmaster.master][INFO] 2019-01-09 09:36:56,540: -PUB [/RosAria/battery_recharge_state] /RosAria http://onboardpc:40801/
[rosmaster.master][INFO] 2019-01-09 09:36:56,542: -PUB [/RosAria/battery_state_of_charge] /RosAria http://onboardpc:40801/
[rosmaster.master][INFO] 2019-01-09 09:36:56,543: -PUB [/RosAria/motors_state] /RosAria http://onboardpc:40801/
[rosmaster.master][INFO] 2019-01-09 09:37:14,272: +PARAM [/RosAria/port] by /RosAria
[rosmaster.master][INFO] 2019-01-09 09:37:14,275: +PUB [/rosout] /RosAria http://onboardpc:33063/
[rosmaster.master][INFO] 2019-01-09 09:37:14,276: publisherUpdate[/rosout] -> http://onboardpc:33407/ ['http://onboardpc:33063/']
[rosmaster.master][INFO] 2019-01-09 09:37:14,276: +SERVICE [/RosAria/get_loggers] /RosAria http://onboardpc:33063/
[rosmaster.master][INFO] 2019-01-09 09:37:14,277: publisherUpdate[/rosout] -> http://onboardpc:33407/ ['http://onboardpc:33063/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2019-01-09 09:37:14,278: +SERVICE [/RosAria/set_logger_level] /RosAria http://onboardpc:33063/
[rosmaster.master][INFO] 2019-01-09 09:37:14,281: +PUB [/tf] /RosAria http://onboardpc:33063/
[rosmaster.master][INFO] 2019-01-09 09:37:14,290: +PUB [/RosAria/pose] /RosAria http://onboardpc:33063/
[rosmaster.master][INFO] 2019-01-09 09:37:14,292: +PUB [/RosAria/bumper_state] /RosAria http://onboardpc:33063/
[rosmaster.master][INFO] 2019-01-09 09:37:14,293: +PUB [/RosAria/sonar] /RosAria http://onboardpc:33063/
[rosmaster.master][INFO] 2019-01-09 09:37:14,294: +PUB [/RosAria/sonar_pointcloud2] /RosAria http://onboardpc:33063/
[rosmaster.master][INFO] 2019-01-09 09:37:14,295: +PUB [/RosAria/battery_voltage] /RosAria http://onboardpc:33063/
[rosmaster.master][INFO] 2019-01-09 09:37:14,296: +PUB [/RosAria/battery_recharge_state] /RosAria http://onboardpc:33063/
[rosmaster.master][INFO] 2019-01-09 09:37:14,297: +PUB [/RosAria/battery_state_of_charge] /RosAria http://onboardpc:33063/
[rosmaster.master][INFO] 2019-01-09 09:37:14,298: +PUB [/RosAria/motors_state] /RosAria http://onboardpc:33063/
[rosmaster.master][INFO] 2019-01-09 09:37:14,299: +SERVICE [/RosAria/enable_motors] /RosAria http://onboardpc:33063/
[rosmaster.master][INFO] 2019-01-09 09:37:14,300: +SERVICE [/RosAria/disable_motors] /RosAria http://onboardpc:33063/
[rosmaster.master][INFO] 2019-01-09 09:37:15,105: +SERVICE [/RosAria/set_parameters] /RosAria http://onboardpc:33063/
[rosmaster.master][INFO] 2019-01-09 09:37:15,106: +PUB [/RosAria/parameter_descriptions] /RosAria http://onboardpc:33063/
[rosmaster.master][INFO] 2019-01-09 09:37:15,108: +PUB [/RosAria/parameter_updates] /RosAria http://onboardpc:33063/
[rosmaster.master][INFO] 2019-01-09 09:37:15,117: +PARAM [/RosAria/trans_accel] by /RosAria
[rosmaster.master][INFO] 2019-01-09 09:37:15,118: +PARAM [/RosAria/trans_decel] by /RosAria
[rosmaster.master][INFO] 2019-01-09 09:37:15,119: +PARAM [/RosAria/lat_accel] by /RosAria
[rosmaster.master][INFO] 2019-01-09 09:37:15,120: +PARAM [/RosAria/lat_decel] by /RosAria
[rosmaster.master][INFO] 2019-01-09 09:37:15,121: +PARAM [/RosAria/rot_accel] by /RosAria
[rosmaster.master][INFO] 2019-01-09 09:37:15,122: +PARAM [/RosAria/rot_decel] by /RosAria
[rosmaster.master][INFO] 2019-01-09 09:37:15,122: +PARAM [/RosAria/TicksMM] by /RosAria
[rosmaster.master][INFO] 2019-01-09 09:37:15,123: +PARAM [/RosAria/DriftFactor] by /RosAria
[rosmaster.master][INFO] 2019-01-09 09:37:15,124: +PARAM [/RosAria/RevCount] by /RosAria
[rosmaster.master][INFO] 2019-01-09 09:37:15,125: +PARAM [/RosAria/trans_accel] by /RosAria
[rosmaster.master][INFO] 2019-01-09 09:37:15,126: +PARAM [/RosAria/trans_decel] by /RosAria
[rosmaster.master][INFO] 2019-01-09 09:37:15,127: +PARAM [/RosAria/lat_accel] by /RosAria
[rosmaster.master][INFO] 2019-01-09 09:37:15,128: +PARAM [/RosAria/lat_decel] by /RosAria
[rosmaster.master][INFO] 2019-01-09 09:37:15,129: +PARAM [/RosAria/rot_accel] by /RosAria
[rosmaster.master][INFO] 2019-01-09 09:37:15,130: +PARAM [/RosAria/rot_decel] by /RosAria
[rosmaster.master][INFO] 2019-01-09 09:37:15,131: +PARAM [/RosAria/TicksMM] by /RosAria
[rosmaster.master][INFO] 2019-01-09 09:37:15,132: +PARAM [/RosAria/DriftFactor] by /RosAria
[rosmaster.master][INFO] 2019-01-09 09:37:15,132: +PARAM [/RosAria/RevCount] by /RosAria
[rosmaster.master][INFO] 2019-01-09 09:37:15,138: +SUB [/RosAria/cmd_vel] /RosAria http://onboardpc:33063/
[rosmaster.master][INFO] 2019-01-09 09:37:57,557: -PUB [/rosout] /RosAria http://onboardpc:33063/
[rosmaster.master][INFO] 2019-01-09 09:37:57,558: -PUB [/tf] /RosAria http://onboardpc:33063/
[rosmaster.master][INFO] 2019-01-09 09:37:57,559: -PUB [/RosAria/pose] /RosAria http://onboardpc:33063/
[rosmaster.master][INFO] 2019-01-09 09:37:57,560: -PUB [/RosAria/bumper_state] /RosAria http://onboardpc:33063/
[rosmaster.master][INFO] 2019-01-09 09:37:57,561: -PUB [/RosAria/sonar] /RosAria http://onboardpc:33063/
